"Fruits: Retail Prices of Agricultural Commodities by Geolocation, Commodity, Year and Period"

"Geolocation","Commodity","2020 January","2020 February","2020 March","2020 April","2020 May","2020 June","2020 July","2020 August","2020 September","2020 October","2020 November","2020 December","2021 January","2021 February","2021 March","2021 April","2021 May","2021 June","2021 July","2021 August","2021 September","2021 October","2021 November","2021 December","2022 January","2022 February","2022 March","2022 April","2022 May","2022 June","2022 July","2022 August","2022 September","2022 October","2022 November","2022 December","2023 January","2023 February","2023 March","2023 April","2023 May","2023 June","2023 July","2023 August","2023 September","2023 October","2023 November","2023 December","2024 January","2024 February","2024 March","2024 April","2024 May","2024 June","2024 July","2024 August","2024 September","2024 October","2024 November","2024 December"
"..REGION VI (WESTERN VISAYAS)","FRESH FRUIT, PAPAYA, SOLO, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VI (WESTERN VISAYAS)","FRESH FRUIT, PAPAYA, TAGALOG, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VI (WESTERN VISAYAS)","FRESH FRUIT, PINEAPPLE, PINYA, FORMOSA, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VI (WESTERN VISAYAS)","FRESH FRUIT, PINEAPPLE, PINYA, HAWAIIAN, MEDIUM, 1 KG",49.63,51.38,51.38,53.39,53.39,53.39,52.05,52.05,52.73,53.66,53.66,55.68,57.02,57.02,58.36,57.68,57.68,55.00,55.00,55.00,57.50,57.50,57.50,58.13,57.50,56.88,57.25,68.75,66.25,65.63,65.00,66.25,66.25,66.25,66.88,68.13,65.63,65.00,65.00,64.38,63.50,63.75,62.50,62.50,62.50,61.25,67.50,68.75,65.63,66.25,66.88,66.88,70.63,72.50,71.88,73.13,74.38,74.38,75.00,73.75
"..REGION VI (WESTERN VISAYAS)","FRESH FRUIT, PINEAPPLE, PINYA, MEDIUM, 1 KG",49.84,50.98,51.61,52.27,52.33,52.02,52.93,53.66,53.89,54.12,52.66,53.81,54.41,55.95,55.63,53.72,53.06,52.70,53.33,53.47,53.92,55.51,55.63,56.85,56.30,56.54,57.56,56.98,57.51,56.77,57.93,57.93,56.20,56.75,56.79,56.74,55.60,57.05,56.60,56.95,57.44,57.35,58.40,57.54,57.75,58.08,58.97,59.41,59.61,59.50,58.60,58.31,59.36,59.99,60.93,61.14,60.67,58.52,58.94,58.85
"..REGION VI (WESTERN VISAYAS)","FRESH FRUIT, GRAPES, 1 KG",320.65,329.73,338.81,332.76,329.73,338.81,331.25,331.25,326.71,331.25,316.12,334.27,363.01,355.45,343.35,343.35,337.30,338.81,331.25,331.25,326.25,318.75,321.25,323.75,323.75,321.25,323.75,328.75,328.75,323.75,317.50,313.75,313.75,321.25,322.50,327.50,338.75,328.75,323.75,323.75,323.75,323.75,328.75,328.75,331.25,331.25,332.50,333.75,333.75,333.75,322.50,322.50,320.00,320.00,320.00,320.00,320.00,320.00,320.00,323.75
"..REGION VI (WESTERN VISAYAS)","FRESH FRUIT, GRAPES, SEEDLESS, 1 KG",272.90,264.41,264.41,264.41,266.84,263.20,259.56,255.92,255.92,253.49,253.49,252.28,243.79,240.15,240.15,243.19,245.00,245.00,245.00,245.00,245.00,245.00,245.00,245.00,245.00,245.00,245.00,245.00,245.00,245.00,247.50,251.25,251.25,251.25,248.75,255.00,255.00,256.25,256.25,258.75,258.75,258.75,258.75,258.75,261.25,262.50,260.00,260.00,257.50,257.50,257.50,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00
"..REGION VI (WESTERN VISAYAS)","FRESH FRUIT, GRAPES, WITH SEEDS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VI (WESTERN VISAYAS)","FRESH FRUIT, GUYABANO, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VI (WESTERN VISAYAS)","FRESH FRUIT, JACKFRUIT, LANGKA, 1 KG",36.13,36.13,36.13,36.13,36.13,36.13,34.85,34.85,34.85,34.85,34.85,36.77,36.77,36.46,35.22,33.98,33.98,35.83,35.83,39.17,42.50,47.50,39.17,39.17,45.83,44.17,44.17,42.50,58.75,53.75,53.75,53.75,52.50,52.50,52.50,57.50,50.00,50.00,51.67,51.25,55.00,56.25,55.00,51.25,53.13,55.00,53.75,55.00,56.25,53.75,54.38,55.00,55.00,56.25,56.25,58.75,60.00,59.38,60.00,60.00
"..REGION VI (WESTERN VISAYAS)","FRESH FRUIT, LANZONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VI (WESTERN VISAYAS)","FRESH FRUIT, RAMBUTAN, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VI (WESTERN VISAYAS)","FRESH FRUIT, POMELO, MEDIUM, 1 KG",110.82,104.79,107.69,110.83,111.13,110.01,112.02,108.55,111.45,111.45,114.91,113.57,114.07,114.36,112.05,112.05,114.36,121.29,121.00,122.08,116.25,121.25,118.61,120.00,118.96,119.17,126.18,116.53,120.85,119.25,131.53,123.06,124.58,123.89,125.42,128.89,130.56,126.53,129.44,132.36,134.44,132.89,134.44,133.89,133.89,130.42,125.77,125.28,123.19,125.28,124.10,124.65,128.82,129.17,145.36,147.72,145.50,142.13,141.88,136.90
"..REGION VI (WESTERN VISAYAS)","FRESH FRUIT, ORANGE, DALANDAN, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VI (WESTERN VISAYAS)","FRESH FRUIT, ORANGE, SINTONES, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VI (WESTERN VISAYAS)","FRESH FRUIT, MANDARIN, DALANGHITA, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VI (WESTERN VISAYAS)","CALAMANSI, LOOSE, 1 KG",75.39,60.09,57.85,64.36,67.63,64.36,61.58,56.63,49.24,40.75,44.25,72.01,78.13,84.67,72.56,51.21,47.81,54.44,55.53,56.02,57.03,59.10,63.29,66.77,67.92,80.69,82.78,73.20,66.17,62.53,62.56,58.33,64.03,66.94,74.24,85.56,80.83,74.58,69.03,70.00,93.33,93.47,95.53,86.11,66.88,52.08,60.44,65.40,68.29,71.00,79.96,94.11,96.97,100.25,102.14,96.99,93.90,82.74,79.45,86.74
"..REGION VI (WESTERN VISAYAS)","FRESH FRUIT, APPLE, RED DELICIOUS, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VI (WESTERN VISAYAS)","FRESH FRUIT, CANTALOUPE, MELON, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VI (WESTERN VISAYAS)","FRESH FRUIT, WATERMELON, PAKWAN, MEDIUM, 1 KG",44.05,44.05,42.90,41.73,42.90,42.90,41.73,42.90,42.90,42.90,41.73,44.05,41.73,40.58,38.26,38.26,39.41,41.73,40.58,38.92,44.17,48.42,55.67,51.92,52.33,51.00,50.17,48.50,49.50,41.08,41.50,41.58,42.83,45.50,45.67,48.17,46.92,48.17,46.75,46.75,41.17,41.17,47.83,41.17,43.42,43.83,44.67,44.67,45.50,47.75,44.42,42.58,43.42,42.17,43.83,47.67,53.17,53.75,49.83,52.33
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, AVOCADO, 1 KG",71.93,78.90,77.45,79.76,81.99,80.09,80.18,80.90,77.34,78.40,78.08,77.98,83.65,84.07,75.81,80.69,81.15,75.59,75.99,68.93,67.36,73.20,74.31,79.45,97.57,96.11,91.81,96.11,98.96,100.49,92.95,95.18,100.90,102.15,101.81,102.29,118.20,131.74,124.58,140.90,118.82,107.36,96.56,82.57,87.99,107.88,146.81,148.85,139.33,124.50,125.53,127.05,138.13,131.95,120.83,100.49,129.86,147.57,151.67,152.36
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, BANANA, CARDAVA, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, BANANA, LAKATAN, MEDIUM, 1 KG",63.78,62.99,65.60,74.51,74.39,78.78,77.08,76.46,74.20,71.82,70.39,68.15,69.80,68.17,67.20,66.20,66.04,65.09,62.97,53.63,54.22,51.88,49.33,48.38,53.13,51.58,52.54,54.47,54.17,53.08,51.92,52.75,52.24,49.54,50.49,54.37,59.35,65.71,70.25,73.12,73.46,71.42,71.33,70.54,70.58,72.71,80.08,78.37,86.79,85.67,87.71,90.42,86.33,83.88,86.42,88.75,91.54,90.42,90.92,89.17
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, BANANA, LATUNDAN, MEDIUM, 1 KG",39.85,41.15,40.89,43.67,42.72,42.06,42.85,44.04,43.64,43.64,43.36,42.57,43.05,42.65,41.84,43.45,41.66,42.78,44.62,38.37,39.04,39.93,38.13,37.96,39.28,41.38,40.75,40.08,40.33,40.75,40.38,38.67,39.46,40.17,39.25,42.00,42.92,45.00,44.33,44.08,45.79,46.58,46.38,46.92,45.33,44.92,46.83,45.92,47.29,50.17,51.25,53.88,53.00,53.25,53.08,53.33,53.58,52.50,53.25,53.42
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, BANANA, SABA, MEDIUM, 1 KG",38.03,39.65,39.65,45.41,39.65,42.87,43.22,45.07,41.61,40.57,39.31,39.31,40.46,38.15,39.87,39.53,41.26,42.30,39.53,37.26,35.70,32.46,33.43,37.75,37.03,36.52,35.67,35.73,38.53,37.04,36.58,35.89,36.87,32.38,31.35,30.45,30.06,26.90,27.59,29.89,28.66,27.53,26.86,26.91,26.54,26.50,27.77,26.54,25.98,27.49,27.48,29.46,29.51,29.43,28.31,28.51,28.51,28.62,28.64,29.19
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, GUAVA, BAYABAS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, MANGO, CEBU, RIPE, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, MANGO, INDIAN, MEDIUM, 1 KG",59.28,62.26,67.67,68.85,65.25,58.50,52.56,55.12,58.96,58.67,60.44,60.59,57.26,56.62,51.81,52.76,47.69,42.46,40.77,41.45,43.52,43.44,42.98,46.73,53.54,52.52,50.79,46.04,45.54,47.71,47.84,46.63,49.17,51.42,53.04,56.79,56.71,57.42,58.04,59.50,60.58,56.42,51.25,51.84,52.04,59.25,65.17,68.38,69.19,68.69,69.69,71.30,64.47,53.64,46.96,50.15,50.11,50.49,66.21,69.03
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, MANGO, KALABAW, RIPE, MEDIUM, 1 KG",143.96,146.79,150.39,168.50,144.37,151.39,150.59,138.12,139.47,161.05,164.01,154.95,172.89,173.23,159.21,159.67,145.04,126.55,115.64,115.04,118.42,119.84,117.60,118.93,135.03,137.64,134.61,130.15,118.74,127.21,127.89,135.48,136.18,134.24,136.49,136.98,149.69,147.36,142.95,142.12,135.97,125.97,121.94,125.28,160.21,180.63,172.78,167.33,170.63,149.65,147.29,148.33,129.72,112.71,106.53,125.70,183.61,225.31,152.61,169.38
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, MANGO, NATIVE, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, MANGO, NATIVE, RIPE, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, MANGO, PIKO, RIPE, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, MANGO, RIPE, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, PAPAYA, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, PAPAYA, NATIVE, MEDIUM, 1 KG",43.40,41.63,43.15,46.42,42.38,41.98,41.67,41.92,42.53,42.45,43.07,42.56,41.15,40.89,40.87,40.68,40.16,39.55,38.04,36.90,37.25,37.17,36.64,38.28,41.06,39.28,39.13,39.42,39.92,40.30,40.49,39.90,39.38,39.94,39.13,39.37,40.36,40.17,39.72,38.90,39.32,39.97,39.61,39.44,40.39,40.72,40.51,39.77,38.51,38.07,38.19,40.32,41.06,40.79,42.04,49.82,53.93,48.87,44.05,41.55
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, PAPAYA, NATIVE, RIPE, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, PAPAYA, SOLO, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, PAPAYA, TAGALOG, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, PINEAPPLE, PINYA, FORMOSA, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, PINEAPPLE, PINYA, HAWAIIAN, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, PINEAPPLE, PINYA, MEDIUM, 1 KG",51.14,59.87,59.01,59.01,56.40,57.72,56.62,55.74,56.39,56.41,57.00,57.00,52.55,52.91,55.80,53.10,55.45,51.95,49.49,48.46,47.83,49.50,49.39,49.95,48.24,50.70,50.43,51.22,52.16,51.00,50.16,49.30,54.05,52.29,52.77,51.55,53.10,54.05,54.08,53.77,56.12,55.20,56.87,58.41,59.78,58.74,58.45,57.07,58.00,57.14,57.17,57.80,57.05,57.62,57.14,57.68,59.46,61.37,62.11,62.92
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, GRAPES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, GRAPES, SEEDLESS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, GRAPES, WITH SEEDS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, GUYABANO, 1 KG",66.32,67.34,67.34,69.04,66.66,59.86,58.16,57.31,59.52,62.07,61.22,61.22,58.67,57.40,59.95,56.38,57.14,59.31,63.91,61.00,57.81,61.81,59.92,64.33,67.24,65.63,60.47,61.51,55.99,56.62,57.24,57.19,55.89,54.85,54.90,55.78,55.78,57.03,54.17,54.90,57.92,58.54,59.17,56.67,57.50,61.93,62.14,63.60,58.39,54.22,54.01,52.45,61.51,70.26,75.68,70.47,62.45,61.10,60.99,61.72
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, JACKFRUIT, LANGKA, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, LANZONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, RAMBUTAN, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, POMELO, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, ORANGE, DALANDAN, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, ORANGE, SINTONES, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, MANDARIN, DALANGHITA, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","CALAMANSI, LOOSE, 1 KG",68.17,68.53,69.64,83.12,72.44,67.35,66.94,66.44,65.96,66.27,66.46,68.28,67.46,67.66,79.87,89.44,78.71,86.48,79.97,81.54,83.31,85.32,87.53,86.90,93.50,95.97,94.31,92.85,90.49,89.44,90.04,92.92,95.17,92.92,92.47,97.78,93.72,87.74,84.03,91.32,105.90,101.81,91.53,88.30,83.89,77.73,84.34,89.52,89.38,85.84,83.68,101.98,98.72,98.93,93.65,89.69,89.27,86.84,87.12,85.97
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, APPLE, RED DELICIOUS, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, CANTALOUPE, MELON, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VII (CENTRAL VISAYAS)","FRESH FRUIT, WATERMELON, PAKWAN, MEDIUM, 1 KG",50.43,53.01,51.65,52.33,53.00,48.92,52.32,47.56,47.56,48.92,49.60,50.96,50.69,50.96,52.32,50.96,52.32,49.73,46.88,47.88,48.13,50.00,49.38,48.75,49.38,46.25,43.75,41.25,41.88,48.13,51.88,51.25,49.38,54.13,50.63,50.63,58.13,57.50,56.88,53.75,51.25,48.13,53.75,51.25,50.63,53.75,57.50,53.13,55.63,52.50,61.25,61.25,56.88,55.63,55.00,56.25,54.38,56.88,56.88,60.00
"..REGION VIII (EASTERN VISAYAS)","FRESH FRUIT, AVOCADO, 1 KG",73.75,73.75,73.75,80.00,90.00,107.50,105.00,95.00,97.50,96.25,95.00,95.00,100.00,96.88,96.88,96.88,96.25,96.25,98.75,98.75,98.75,98.75,98.75,93.75,93.75,93.75,93.75,97.50,103.75,107.50,102.50,111.25,108.75,108.75,108.75,108.75,108.75,108.75,108.75,125.00,125.00,127.50,128.75,115.00,112.50,113.75,113.75,113.75,120.00,120.00,117.50,118.75,131.25,130.00,120.00,133.75,153.75,153.75,153.75,153.75
"..REGION VIII (EASTERN VISAYAS)","FRESH FRUIT, BANANA, CARDAVA, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VIII (EASTERN VISAYAS)","FRESH FRUIT, BANANA, LAKATAN, MEDIUM, 1 KG",60.07,59.76,61.96,65.54,67.47,71.76,68.27,67.77,65.73,66.22,66.04,66.58,66.24,67.12,65.80,65.16,65.08,67.89,69.33,69.37,69.06,67.34,65.02,67.38,71.76,71.22,71.03,69.84,69.93,70.72,70.10,69.69,69.90,70.18,69.65,72.03,73.55,80.18,84.76,85.91,84.88,82.65,81.86,82.28,84.38,81.66,85.94,92.52,95.85,94.34,99.29,100.04,99.97,101.28,100.93,101.74,101.09,102.86,103.27,103.40
"..REGION VIII (EASTERN VISAYAS)","FRESH FRUIT, BANANA, LATUNDAN, MEDIUM, 1 KG",29.48,29.62,30.03,32.46,33.13,34.55,34.21,35.63,37.04,35.63,36.18,35.28,35.66,35.66,35.66,35.66,35.75,36.54,36.54,36.96,36.96,37.19,36.57,38.34,43.65,39.90,40.32,39.38,39.50,39.38,39.38,39.38,40.00,36.67,36.78,39.59,36.46,37.09,37.09,38.23,38.03,38.65,36.04,36.57,35.32,33.44,33.34,32.82,33.23,33.96,35.84,35.84,35.84,36.88,37.09,35.42,36.09,35.63,36.46,36.57
"..REGION VIII (EASTERN VISAYAS)","FRESH FRUIT, BANANA, SABA, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION VIII (EASTERN VISAYAS)","FRESH FRUIT, GUAVA, BAYABAS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
